ValueSet;IVR Code;IVR Display (DE);SNOMED CT Code;SNOMED CT Display (EN);SNOMED CT Display (DE);Mapping Type;Notes
IVR NACA;0;keine Verletzung oder Erkrankung;260413007;None;Keine;Direct;Baseline: keine Verletzung
IVR NACA;I;geringfügige Störung;255604002;Mild;Leicht;Direct;Keine ärztliche Intervention
IVR NACA;II;leichte bis mässig schwere Störung;6736007;Moderate;Mässig;Direct;Ambulante Abklärung
IVR NACA;III;mässige bis schwere Störung;24484000;Severe;Schwer;Direct;Stationäre Behandlung
IVR NACA;IV;schwere Störung lebensbedrohlich;419099009;Cardiac arrest;Herzstillstand;Direct;Notarzt notwendig
IVR NACA;V;akute Lebensgefahr;419099009;Cardiac arrest;Herzstillstand;Direct;Akute Lebensgefahr
IVR NACA;VI;Reanimation;89666000;Cardiopulmonary resuscitation;Reanimation;Direct;CPR in Durchführung
IVR NACA;VII;Tod;419099009;Death;Tod;Direct;Verstorben
IVR Mission Type;1000001;Primäreinsatz;409063005;Emergency care;Notfallversorgung;Direct;
IVR Mission Type;1000002;Sekundäreinsatz;183452005;Interfacility transfer;Interinstitutioneller Transfer;Direct;
IVR Mission Type;1000003;Bereitschaftsdienst;386426000;Patient transport;Patiententransport;Direct;
IVR Transport Reason;1000110;Notfall-Einsatz;409063005;Emergency care;Notfallversorgung;Direct;
IVR Transport Reason;1000111;Verlegung zwischen Institutionen;183452005;Interfacility transfer;Interinstitutioneller Transfer;Direct;
IVR Transport Reason;1000112;Notarzt-Zubringer;386433008;Patient transport;Patiententransport;Direct;
IVR Transport Reason;1000113;Isolettentransport;409063005;Emergency care;Notfallversorgung;Direct;Neonatal
IVR Transport Reason;1000114;Neonatologischer Einsatz;409063005;Emergency care;Notfallversorgung;Direct;
IVR Transport Reason;1000003;Bereitschaftsdienst;386426000;Patient transport;Patiententransport;Direct;
IVR Transport Reason;1000115;Rücktransport von Untersuchung;183452005;Interfacility transfer;Interinstitutioneller Transfer;Direct;
IVR Transport Reason;1000116;Interventionseinsatz Polizei;409063005;Emergency care;Notfallversorgung;Direct;
IVR Transport Reason;1000117;Selbsteinweisung;183935002;Self-referral;Selbsteinweisung;Direct;
IVR Transport Reason;1000118;Einsatz Stretcher;386426000;Patient transport;Patiententransport;Direct;
IVR Transport Reason;1000119;Einsatz für Vertragspartner;386426000;Patient transport;Patiententransport;Direct;
IVR Transport Reason;1000120;fürsorgerische Unterbringung;409063005;Emergency care;Notfallversorgung;Direct;Involuntary
IVR Transport Reason;1000121;Dienstleistung vor Ort;386433008;Service on scene;Service vor Ort;Direct;
IVR Transport Reason;1000122;Ärztliche Einweisung;183935002;Medical referral;Ärztliche Zuweisung;Direct;
IVR Transport Reason;1000123;Transportverweigerung;410605003;Refusal of transport;Transportverweigerung;Direct;
IVR Urgency;1000007;mit Sondersignal;258770002;Urgent;Dringend;Direct;
IVR Urgency;1000008;ohne Sondersignal;182777000;Non-urgent;Nicht dringend;Direct;
IVR Person Role;1000095;Begleitperson;309343006;Caregiver;Betreuungsperson;Direct;
IVR Person Role;1000096;Erben;419112000;Heir;Erbe;Direct;
IVR Person Role;1000097;Auftraggeber;309343006;Principal;Auftraggeber;Direct;
IVR Person Role;1000098;gesetzlicher Vertreter;309343006;Legal guardian;Gesetzlicher Vertreter;Direct;
IVR Person Role;1000099;Eltern;419112000;Parent;Elternteil;Direct;
IVR Person Role;;Other;74964007;Other;Andere;Already SNOMED;
IVR Team Role;1000013;Fahrer;223366009;Driver;Fahrer;Direct;
IVR Team Role;1000014;in Ausbildung;223366009;Trainee;In Ausbildung;Direct;
IVR Team Role;1000016;betreuender Arzt;309343006;Physician;Arzt;Direct;
IVR Team Role;1000020;Praktikant;223366009;Apprentice;Praktikant;Direct;
IVR Team Role;1000021;Sicherheitsbegleitung;223366009;Security person;Sicherheitspersonal;Direct;
IVR Team Role;;Neonatologist;28411006;Neonatologist;Neonatologe;Already SNOMED;
IVR Team Role;;Neonatal nurse;224549000;Neonatal nurse;Neonatologie-Pflege;Already SNOMED;
IVR Team Role;;Pilot;308040008;Pilot;Pilot;Already SNOMED;
IVR Team Role;;Caregiver;133932002;Caregiver;Betreuer;Already SNOMED;
IVR Team Role;;Physician;309343006;Physician;Arzt;Already SNOMED;
IVR Team Role;;Registered midwife;309453006;Registered midwife;Hebamme;Already SNOMED;
IVR Team Role;;Professional nurse;106292003;Professional nurse;Pflegefachperson;Already SNOMED;
IVR Team Role;;Other;74964007;Other;Andere;Already SNOMED;
IVR Team Role;;Family doctor;62247001;Family medicine specialist;Hausarzt;Already SNOMED;
IVR Event;100005;keine Angaben;261665006;Unknown;Unbekannt;Direct;
IVR Event;;Illness;39104002;Illness;Krankheit;Already SNOMED;
IVR Event;;Assault;52684005;Assault;Überfall;Already SNOMED;
IVR Event;;Explosion;19440001;Explosion;Explosion;Already SNOMED;
IVR Event;;Fire;80032004;Fire;Brand;Already SNOMED;
IVR Event;;Fall;1912002;Fall;Sturz;Already SNOMED;
IVR Event;;Work Accident;7542004;Work accident;Arbeitsunfall;Already SNOMED;
IVR Event;;Sports Accident;57701003;Sports accident;Sportunfall;Already SNOMED;
IVR Event;;Patient not asked;1631000175102;Patient not asked;Nicht erfragt;Already SNOMED;
IVR Event;;Household Accident;79573009;Household accident;Haushaltsunfall;Already SNOMED;
IVR Event;;Vehicle accident;418161006;Vehicle accident;Verkehrsunfall;Already SNOMED;
IVR Event;;Other;74964007;Other;Andere;Already SNOMED;
IVR Event;;Unknown;261665006;Unknown;Unbekannt;Already SNOMED;
IVR Ambulance Type;;Rescue vehicle;83887000;Rescue vehicle;Rettungswagen;Already SNOMED;
IVR Ambulance Type;;Automobile ambulance;465341007;Automobile ambulance;Einsatzambulanz;Already SNOMED;
IVR Ambulance Type;;Light land transport vehicle;55121009;Light land transport vehicle;Notarzt-Zubringer;Already SNOMED;
IVR Ambulance Type;;Helicopter ambulance;469233002;Helicopter ambulance;Rettungshelikopter;Already SNOMED;
IVR Ambulance Type;;Air transport ambulance;73957001;Air transport ambulance;Ambulanz-Jet;Already SNOMED;
IVR Transport Bedding;1000101;sitzend;722991004;Sitting position;Sitzend;Direct;
IVR Transport Bedding;1000102;halb liegend;722994007;Semi-recumbent position;Halbliegend;Direct;
IVR Transport Bedding;1000103;liegend;722995008;Supine position;Liegend;Direct;
IVR Transport Bedding;;Trendelenburg;423212001;Trendelenburg positioning;Trendelenburg-Lage;Already SNOMED;
IVR Transport Bedding;1000104;Beine hoch;423212001;Trendelenburg positioning;Trendelenburg-Lage;Direct;
IVR Transport Bedding;1000105;Beine tief;722997000;Legs dependent;Beine tief;Direct;
IVR Transport Bedding;1000106;Kniekick;722998005;Knee-chest position;Knie-Brüst-Lage;Direct;
IVR Transport Bedding;1000107;Bauchlage;722999002;Prone position;Bauchlage;Direct;
IVR Transport Bedding;1000108;Seitenlage links;723000009;Left lateral position;Seitenlage links;Direct;
IVR Transport Bedding;1000109;Seitenlage rechts;723001008;Right lateral position;Seitenlage rechts;Direct;
IVR Transport Bedding;;Other;74964007;Other;Andere;Already SNOMED;
IVR Cold Exposure;1000143;Erfrierungen 1. Grades;36296008;Frostbite first degree;Erfrierung 1. Grades;Direct;
IVR Cold Exposure;1000144;Erfrierungen 2. Grades;36297004;Frostbite second degree;Erfrierung 2. Grades;Direct;
IVR Cold Exposure;1000145;Erfrierungen 3. Grades;36298009;Frostbite third degree;Erfrierung 3. Grades;Direct;
IVR Cold Exposure;1000146;Erfrierungen 4. Grades;36299001;Frostbite fourth degree;Erfrierung 4. Grades;Direct;
IVR Heat Exposure;1000147;Verbrennung 1. Grades;83433008;Burn first degree;Verbrennung 1. Grades;Direct;
IVR Heat Exposure;1000148;Verbrennung 2. Grades;83434002;Burn second degree;Verbrennung 2. Grades;Direct;
IVR Heat Exposure;1000149;Verbrennung 3. Grades;83435001;Burn third degree;Verbrennung 3. Grades;Direct;
IVR Death Manner;;Death of unknown cause;87309006;Death of unknown cause;Todesursache unklar;Already SNOMED;
IVR Death Manner;;Suspicious death;418309003;Suspicious death;Aussergewöhnlicher Todesfall;Already SNOMED;
IVR Death Manner;;Natural death;38605008;Natural death;Natürlicher Todesfall;Already SNOMED;
IVR Violence Form;1000043;Beschimpfung;284616006;Verbally threatening behaviour;Verbale Drohung;Direct;
IVR Violence Form;1000044;Bewerfen mit Gegenständen;12405001;Spitting;Anspucken;Direct;
IVR Violence Form;1000045;Unerwünschte Berührung;248109002;Sexual offence;Sexuelle Belästigung;Direct;
IVR Violence Form;1000046;Stossen/Anrempeln;284616006;Verbally threatening behaviour;Stossen/Anrempeln;Direct;
IVR Violence Form;1000049;leichter körperlicher Angriff;284616006;Verbally threatening behaviour;Leichter körperlicher Angriff;Direct;
IVR Violence Form;1000050;schwerer körperlicher Angriff;248109002;Assault;Schwerer körperlicher Angriff;Direct;
IVR Violence Form;1000059;Bedrohung mit Waffe;284616006;Verbally threatening behaviour;Bedrohung mit Waffe;Direct;
IVR Violence Form;1000060;Verletzung mit Waffe;248109002;Assault;Verletzung mit Waffe;Direct;
IVR Violence Form;;None;260413007;None;Keine;Already SNOMED;
IVR Violence Form;;Verbally threatening;284616006;Verbally threatening behaviour;Verbale Drohung;Already SNOMED;
IVR Violence Form;;Spitting;12405001;Spitting;Anspucken;Already SNOMED;
IVR Violence Form;;Sexual offence;248109002;Sexual offence;Sexuelle Belästigung;Already SNOMED;
IVR Violence Form;;Other;74964007;Other;Andere;Already SNOMED;
IVR Identification Medium;1000053;Identitätskarte;419112000;Identity document;Identitätsdokument;Direct;
IVR Identification Medium;1000061;Pass;419112000;Identity document;Identitätsdokument;Direct;
IVR Identification Medium;1000062;Krankenkassenkarte;419112000;Identity document;Identitätsdokument;Direct;
IVR Identification Medium;1000063;Fahrausweis;419112000;Identity document;Identitätsdokument;Direct;
IVR Identification Medium;1000064;persönliche Aussage;419112000;Identity document;Identitätsdokument;Direct;
IVR Identification Medium;1000065;Kreditkarte;419112000;Identity document;Identitätsdokument;Direct;
IVR Identification Medium;1000066;anderes Identifikationsmittel;74964007;Other;Andere;Direct;
IVR Valuables Type;1000126;Ehering;419112000;Personal effect;Persönlicher Gegenstand;Direct;
IVR Valuables Type;1000127;Portemonnaie;419112000;Personal effect;Persönlicher Gegenstand;Direct;
IVR Valuables Type;1000128;Armbanduhr;419112000;Personal effect;Persönlicher Gegenstand;Direct;
IVR Valuables Type;1000129;Fingerring;419112000;Personal effect;Persönlicher Gegenstand;Direct;
IVR Valuables Type;1000130;Halskette;419112000;Personal effect;Persönlicher Gegenstand;Direct;
IVR Valuables Type;1000131;Brieftasche;419112000;Personal effect;Persönlicher Gegenstand;Direct;
IVR Valuables Type;1000132;Handtasche;419112000;Personal effect;Persönlicher Gegenstand;Direct;
IVR Valuables Type;1000133;Tasche;419112000;Personal effect;Persönlicher Gegenstand;Direct;
IVR Valuables Type;;Other;74964007;Other;Andere;Already SNOMED;
IVR Formation;1000010;Rettungssanitäter in Ausbildung;397897005;Paramedic;Rettungssanitäter;Subsumption;Paramedic (in training)
IVR Formation;1000011;Transportsanitäter in Ausbildung;159738005;Ambulanceman;Transportsanitäter;Subsumption;Ambulanceman (in training)
IVR Formation;;Paramedic;397897005;Paramedic;Rettungssanitäter HF;Already SNOMED;
IVR Formation;;Ambulanceman;159738005;Ambulanceman;Transportsanitäter FA;Already SNOMED;
IVR Formation;;Emergency doctor;309294001;Accident and emergency doctor;Notarzt SGNOR;Already SNOMED;
IVR Formation;;Anesthetic nurse;309445003;Anesthetic nurse;Anästhesiepfleger HF;Already SNOMED;
IVR Formation;;Registered midwife;309453006;Registered midwife;Hebamme FH;Already SNOMED;
IVR Formation;;Professional nurse;106292003;Professional nurse;Pflegefachperson;Already SNOMED;
IVR Formation;;Registered nurse;224535009;Registered nurse;Pflegefachperson FH;Already SNOMED;
IVR Location Type;1000054;unbekannt;261665006;Unknown;Unbekannt;Direct;
IVR Location Type;;Apartment;257564005;Residential flat;Wohnung;Already SNOMED;
IVR Location Type;;Residential home;257688003;Residential home;Altersheim;Already SNOMED;
IVR Location Type;;Work environment;285141008;Work environment;Arbeitsplatz;Already SNOMED;
IVR Location Type;;Sports ground;257704009;Sports ground;Sport/Freizeit;Already SNOMED;
IVR Location Type;;Street;257710009;Street;Strasse/öffentlicher Raum;Already SNOMED;
IVR Location Type;;Public building;257674002;Public building;Öffentliches Gebäude;Already SNOMED;
IVR Location Type;;Educational establishment;257603009;Educational establishment;Bildungseinrichtung;Already SNOMED;
IVR Location Type;;Doctor's office;83891005;Solo practice private office;Arztpraxis;Already SNOMED;
IVR Location Type;;Hospital;22232009;Hospital;Spital;Already SNOMED;
IVR Location Type;;Special care unit;274409007;Special care unit;Pflegeheim;Already SNOMED;
IVR Location Type;;Other;74964007;Other;Andere;Already SNOMED;
IVR Vigilanz AVPU;A;wach ansprechbar orientiert;248271000;Alert;Wach/Ansprechbar;Direct;
IVR Vigilanz AVPU;V;Reaktion bei lauter Ansprache;248272007;Responds to voice;Reagiert auf Stimme;Direct;
IVR Vigilanz AVPU;P;Reaktion auf Schmerzreiz;248273002;Responds to pain;Reagiert auf Schmerz;Direct;
IVR Vigilanz AVPU;U;nicht ansprechbar bewusstlos;248274008;Unresponsive;Ohne Reaktion;Direct;
IVR Symptom;1000055;nicht erfragt;261665006;Unknown;Unbekannt;Direct;
IVR Symptom;1000058;keine Angaben;261665006;Unknown;Unbekannt;Direct;
IVR Symptom;1000057;siehe Beilage;419112000;See attachment;Siehe Anhang;Direct;
IVR Symptom;;Agitation;24199005;Agitation;krankhafte Unruhe;Already SNOMED;
IVR Symptom;;Dyspnea;267036007;Dyspnea;Atemnot;Already SNOMED;
IVR Symptom;;Unconsciousness;418107008;Unconsciousness;Bewusstseinsstörung;Already SNOMED;
