SNOMED CT Code;SNOMED CT Display (EN);SNOMED CT Display (DE);Used In ValueSets;Count
260413007;None;Keine/Kein;IVR NACA IVR Violence Form IVR Pretreatment IVR Transport Disinfection IVR Pretreatment Type;5
255604002;Mild;Leicht;IVR NACA;1
6736007;Moderate;Massig;IVR NACA;1
24484000;Severe;Schwer;IVR NACA;1
419099009;Cardiac arrest / Death;Herzstillstand/Tod;IVR NACA (3x);3
89666000;Cardiopulmonary resuscitation;Reanimation;IVR NACA IVR Pretreatment Type;2
409063005;Emergency care;Notfallversorgung;IVR Mission Type IVR Transport Reason (4x);5
183452005;Interfacility transfer;Interinstitutioneller Transfer;IVR Mission Type IVR Transport Reason (2x);3
386426000;Patient transport;Patiententransport;IVR Mission Type IVR Transport Reason (4x) IVR EmergDocSys (3x);8
386433008;Service on scene / Patient transport;Service vor Ort;IVR Transport Reason (2x);2
258770002;Urgent;Dringend;IVR Urgency;1
182777000;Non-urgent;Nicht dringend;IVR Urgency;1
309343006;Physician / Caregiver / Legal guardian;Arzt/Betreuer/Vertreter;IVR Person Role (3x) IVR Team Role;4
419112000;Heir / Parent / Identity doc / Personal effect;Erbe/Elternteil/ID-Dokument/Pers.Gegenstand;IVR Person Role (2x) IVR IdMedium (6x) IVR Valuables (8x) IVR Symptom;17
74964007;Other;Andere;IVR Person Role IVR Team Role IVR Event IVR Ambulance Type IVR Transport Bedding IVR Death Manner IVR Violence Form IVR Valuables IVR Location Type IVR Pretreatment Type;10
223366009;Healthcare prof. / Driver / Trainee / Security;Gesundheitsfachperson/Fahrer/In Ausbildung/Praktikant/Sicherheit;IVR Team Role (5x) IVR Pretreatment;6
28411006;Neonatologist;Neonatologe;IVR Team Role;1
224549000;Neonatal nurse;Neonatologie-Pflege;IVR Team Role;1
308040008;Pilot;Pilot;IVR Team Role;1
133932002;Caregiver;Betreuer;IVR Team Role;1
309453006;Registered midwife;Hebamme;IVR Team Role IVR Formation;2
106292003;Professional nurse;Pflegefachperson;IVR Team Role IVR Formation;2
62247001;Family medicine specialist;Hausarzt;IVR Team Role;1
261665006;Unknown;Unbekannt;IVR Event IVR Location Type IVR Symptom (2x) IVR Yes/No/Unknown;5
39104002;Illness;Krankheit;IVR Event;1
52684005;Assault;Uberfall;IVR Event IVR Violence Form;2
19440001;Explosion;Explosion;IVR Event;1
